Country,Year,mean
BEL,2017,0.005311829004328964
BEL,2018,0.004574799679487138
BEL,2019,0.003919989225589207
BEL,2020,0.005396710858585826
BEL,2021,0.019793303030302987
BGR,2020,2e-05
CHE,2012,0.0030673659673659
EST,2019,3.1e-05
EST,2020,3e-05
FRA,2015,0.05
FRA,2016,0.023262431379007457
FRA,2017,0.011748603168168361
FRA,2018,0.013849857697857676
FRA,2019,0.052601545792170766
FRA,2020,0.01984245275888132
FRA,2021,0.014821812865497061
HRV,2016,0.0010573553719008
HRV,2017,0.00051
HRV,2018,0.0002778809523809428
HRV,2019,0.004200208333333334
HRV,2021,0.0005178999999999919
IRL,2019,0.0009437407407406889
IRL,2020,0.000190909090909
IRL,2021,0.00032390909090907
ITA,2012,0.05
ITA,2015,5.071428571428571
ITA,2016,0.05
ITA,2017,0.04154411764705882
ITA,2018,0.0002256159420289848
ITA,2019,0.8036896018518519
ITA,2020,0.010609436947110855
ITA,2021,0.010443972663830408
LTU,2014,0.0020749999999999753
LTU,2015,0.00104166666666664
LTU,2016,0.00105555555555555
LTU,2017,0.0011180555555555334
LTU,2018,0.005
LTU,2021,0.01
LVA,2021,6.933333333333334e-05
NLD,2016,0.0075
NLD,2017,0.005913141025641004
NLD,2018,0.003231944444444429
NLD,2019,0.0025364629332540805
NLD,2020,0.002037179710276523
NLD,2021,0.002388011349067555
NOR,2017,2.8600000000000003
NOR,2019,0.0007
NOR,2020,0.0022333333333333
SWE,2021,0.0015
