model,accuracy,precision,recall,f1,roc_auc
SVM_rbf,0.6401098901098901,0.5355348169418521,0.5837245696400626,0.5585922875327592,0.6791259177800649
CatBoost,0.6501831501831502,0.5523809523809524,0.5446009389671361,0.5484633569739953,0.6959075664083488
XGBoost_BASE,0.637057387057387,0.5332834704562454,0.5579029733959311,0.5453154875717017,0.6817741058742623
RandomForest,0.6623931623931624,0.5793357933579336,0.49139280125195617,0.5317527519051651,0.690352911597043
LightGBM,0.637057387057387,0.5353455123113582,0.5273865414710485,0.53133622388648,0.6722614633412756
GradientBoosting,0.6135531135531136,0.5044313146233382,0.5344287949921753,0.5189969604863222,0.6552522788829518
KNN,0.5924908424908425,0.48059904697072836,0.5524256651017214,0.5140152894066254,0.6219376653648954
DecisionTree,0.5744810744810744,0.4595536959553696,0.5156494522691706,0.4859882005899705,0.5630524891088272
GaussianNB,0.5735653235653235,0.4552967693463561,0.47417840375586856,0.4645458029896512,0.5774040864025214
AdaBoost,0.5598290598290598,0.442008486562942,0.4890453834115806,0.46433878157503716,0.5636187831023511
SGDClassifier,0.4981684981684982,0.3914590747330961,0.5164319248826291,0.44534412955465585,0.5488
LogisticRegression,0.4984737484737485,0.38586616635397125,0.48278560250391234,0.4289190128606187,0.4954825717736515
SVM_linear,0.5167887667887668,0.39702903443619175,0.460093896713615,0.4262413918086263,0.5042483798352343
